Animal ID,Animal Type,Breed,Size,Intake Date,Outcome Type,Outcome Zip Code,Intake Jurisdiction,Outcome Jurisdiction,Location
A412757,DOG,GERM SHEPHERD,LARGE,08/06/2022,RETURN TO OWNER,95403.0,SANTA ROSA,SANTA ROSA,"95403(38.486997, -122.749134)"
A406473,DOG,GERM SHEPHERD/MIX,MED,06/25/2022,RETURN TO OWNER,95403.0,SANTA ROSA,SANTA ROSA,"95403(38.486997, -122.749134)"
A412790,DOG,GERM SHEPHERD,LARGE,08/09/2022,,,SANTA ROSA,,
A412805,DOG,GERM SHEPHERD,LARGE,08/10/2022,,,COUNTY,,
A412792,DOG,ALASKAN HUSKY,MED,08/09/2022,RETURN TO OWNER,94558.0,COUNTY,OUT OF COUNTY,"94558(38.383156, -122.289164)"
A412800,CAT,DOMESTIC SH,KITTN,08/10/2022,,,SANTA ROSA,,
A412592,DOG,CHIHUAHUA SH,SMALL,07/25/2022,TRANSFER,94103.0,SANTA ROSA,OUT OF COUNTY,"94103(37.772469, -122.411853)"
A412109,DOG,CHIHUAHUA SH,SMALL,06/22/2022,TRANSFER,94103.0,SANTA ROSA,OUT OF COUNTY,"94103(37.772469, -122.411853)"
A408497,DOG,PIT BULL/MIX,MED,11/19/2021,RETURN TO OWNER,95492.0,SANTA ROSA,*WINDSOR,"95492(38.541541, -122.809202)"
A412298,DOG,POODLE MIN,SMALL,07/05/2022,TRANSFER,94103.0,SANTA ROSA,OUT OF COUNTY,"94103(37.772469, -122.411853)"
A406473,DOG,GERM SHEPHERD/MIX,MED,08/06/2022,RETURN TO OWNER,95403.0,SANTA ROSA,SANTA ROSA,"95403(38.486997, -122.749134)"
A408497,DOG,PIT BULL/MIX,MED,06/24/2022,RETURN TO OWNER,95401.0,SANTA ROSA,SANTA ROSA,"95401(38.446019, -122.766748)"
A412804,DOG,PIT BULL,SMALL,08/10/2022,,,SANTA ROSA,,
A412308,DOG,PIT BULL/MIX,MED,07/05/2022,,,SANTA ROSA,,
A412517,DOG,PIT BULL/MIX,MED,07/19/2022,,,SANTA ROSA,,
A412803,DOG,PIT BULL,PUPPY,08/10/2022,,,SANTA ROSA,,
A412493,DOG,PIT BULL/MIX,MED,07/16/2022,,,SANTA ROSA,,
A412080,DOG,GERM SHEPHERD,LARGE,06/20/2022,,,COUNTY,,
A408497,DOG,PIT BULL/MIX,MED,12/19/2021,RETURN TO OWNER,95401.0,COUNTY,SANTA ROSA,"95401(38.446019, -122.766748)"
A412110,DOG,CHIHUAHUA SH,SMALL,06/22/2022,TRANSFER,94103.0,SANTA ROSA,OUT OF COUNTY,"94103(37.772469, -122.411853)"
A412544,DOG,AUST CATTLE DOG,MED,07/21/2022,,,COUNTY,,
A412485,CAT,DOMESTIC SH,KITTN,07/16/2022,,,SANTA ROSA,,
A412812,CAT,DOMESTIC SH,SMALL,08/11/2022,,,SANTA ROSA,,
A412447,DOG,CHOW CHOW,LARGE,07/13/2022,,,COUNTY,,
A412816,CAT,DOMESTIC SH,KITTN,08/11/2022,,,COUNTY,,
A412488,CAT,DOMESTIC SH,KITTN,07/16/2022,,,SANTA ROSA,,
A412429,DOG,ROTTWEILER/MIX,LARGE,07/12/2022,,,COUNTY,,
A412340,CAT,DOMESTIC SH,SMALL,07/06/2022,,95407.0,SANTA ROSA,SANTA ROSA,"95407(38.403734, -122.736775)"
A412813,CAT,DOMESTIC SH,SMALL,08/11/2022,,,SANTA ROSA,,
A412817,CAT,DOMESTIC SH,KITTN,08/11/2022,,,COUNTY,,
A412489,CAT,DOMESTIC SH,KITTN,07/16/2022,,,SANTA ROSA,,
A412486,CAT,DOMESTIC SH,KITTN,07/16/2022,,,SANTA ROSA,,
A412328,DOG,ANATOL SHEPHERD,LARGE,07/06/2022,,,COUNTY,,
A412204,DOG,PIT BULL/MIX,SMALL,06/28/2022,,,COUNTY,,
A412334,CAT,DOMESTIC SH,KITTN,07/06/2022,,,COUNTY,,
A412824,DOG,FRENCH BULLDOG,MED,08/11/2022,RETURN TO OWNER,95401.0,SANTA ROSA,SANTA ROSA,"95401(38.446019, -122.766748)"
A412751,DOG,FRENCH BULLDOG/CHIHUAHUA SH,SMALL,08/05/2022,,,SANTA ROSA,,
A412791,CAT,DOMESTIC SH,SMALL,08/09/2022,EUTHANIZE,,COUNTY,,
A412807,DOG,ENG BULLDOG,MED,08/10/2022,RETURN TO OWNER,95446.0,COUNTY,COUNTY,"95446(38.510032, -122.996796)"
A412825,DOG,FRENCH BULLDOG,MED,08/11/2022,RETURN TO OWNER,95401.0,SANTA ROSA,SANTA ROSA,"95401(38.446019, -122.766748)"
A412844,DOG,PIT BULL,MED,08/12/2022,,95404.0,SANTA ROSA,SANTA ROSA,"95404(38.458384, -122.675588)"
A412828,DOG,AKITA/MIX,X-LRG,08/11/2022,RETURN TO OWNER,95401.0,SANTA ROSA,SANTA ROSA,"95401(38.446019, -122.766748)"
A412253,DOG,LABRADOR RETR/MIX,MED,07/01/2022,,,COUNTY,,
A412487,CAT,DOMESTIC SH,KITTN,07/16/2022,,,SANTA ROSA,,
A408497,DOG,PIT BULL/MIX,MED,06/30/2022,,95401.0,SANTA ROSA,SANTA ROSA,"95401(38.446019, -122.766748)"
A412822,DOG,FRENCH BULLDOG/AKITA,PUPPY,08/11/2022,RETURN TO OWNER,95401.0,SANTA ROSA,SANTA ROSA,"95401(38.446019, -122.766748)"
A412829,DOG,AKITA/MIX,X-LRG,08/11/2022,RETURN TO OWNER,95401.0,SANTA ROSA,SANTA ROSA,"95401(38.446019, -122.766748)"
A412700,DOG,ALASKAN HUSKY,PUPPY,08/02/2022,,,COUNTY,,
A412122,DOG,GERM SHEPHERD,MED,06/23/2022,,,SANTA ROSA,,
A412341,DOG,GERM SHEPHERD,LARGE,07/06/2022,EUTHANIZE,,COUNTY,,
A412783,CAT,SIAMESE/MIX,SMALL,08/09/2022,EUTHANIZE,,SANTA ROSA,,
A412255,DOG,GERM SHEPHERD/MIX,MED,07/01/2022,,,COUNTY,,
A412826,DOG,FRENCH BULLDOG,MED,08/11/2022,RETURN TO OWNER,95401.0,SANTA ROSA,SANTA ROSA,"95401(38.446019, -122.766748)"
A412589,DOG,PIT BULL,MED,07/25/2022,EUTHANIZE,94952.0,COUNTY,COUNTY,"94952(38.236012, -122.730241)"
A412591,DOG,PIT BULL,MED,07/25/2022,EUTHANIZE,,COUNTY,,
A412823,DOG,FRENCH BULLDOG/AKITA,PUPPY,08/11/2022,RETURN TO OWNER,95401.0,SANTA ROSA,SANTA ROSA,"95401(38.446019, -122.766748)"
A412491,DOG,SHIH TZU,SMALL,07/16/2022,RETURN TO OWNER,95425.0,COUNTY,*CLOVERDALE,"95425(38.790859, -123.010876)"
A352247,CAT,DOMESTIC SH,SMALL,08/12/2022,EUTHANIZE,95407.0,COUNTY,COUNTY,"95407(38.403734, -122.736775)"
A412256,DOG,GERM SHEPHERD/MIX,MED,07/01/2022,,,COUNTY,,
A412203,DOG,PIT BULL/MIX,SMALL,08/07/2022,,95465.0,COUNTY,COUNTY,"95465(38.406591, -123.001365)"
A412699,DOG,ALASKAN HUSKY,PUPPY,08/02/2022,,,COUNTY,,
A412491,DOG,SHIH TZU,SMALL,07/20/2022,,,COUNTY,,
A412809,DOG,BELG MALINOIS,LARGE,08/10/2022,,95409.0,SANTA ROSA,SANTA ROSA,"95409(38.458965, -122.630156)"
A412642,CAT,DOMESTIC SH,SMALL,07/28/2022,,,SANTA ROSA,,
A412194,DOG,GERM SHEPHERD,LARGE,07/08/2022,EUTHANIZE,,SANTA ROSA,,
A412853,CAT,DOMESTIC SH,KITTN,08/13/2022,,,SANTA ROSA,,
A412840,DOG,MIN PINSCHER/CHIHUAHUA SH,SMALL,08/12/2022,RETURN TO OWNER,94547.0,SANTA ROSA,OUT OF COUNTY,"94547(38.008637, -122.264713)"
A412845,DOG,ENG BULLDOG/MIX,MED,08/13/2022,,95439.0,COUNTY,COUNTY,"95439(38.49169, -122.776056)"
A412811,CAT,DOMESTIC SH,SMALL,08/11/2022,,,COUNTY,,
A412848,CAT,SNOWSHOE,KITTN,08/13/2022,,,COUNTY,,
A412316,CAT,DOMESTIC SH,SMALL,07/06/2022,ADOPTION,95403.0,SANTA ROSA,SANTA ROSA,"95403(38.486997, -122.749134)"
A412827,DOG,SIBERIAN HUSKY/GERM SHEPHERD,MED,08/11/2022,RETURN TO OWNER,95401.0,COUNTY,SANTA ROSA,"95401(38.446019, -122.766748)"
A410718,DOG,PIT BULL,MED,03/25/2022,EUTHANIZE,,COUNTY,,
A368932,CAT,DOMESTIC SH,SMALL,02/20/2018,EUTHANIZE,,COUNTY,,
A356993,CAT,DOMESTIC SH,SMALL,08/16/2017,EUTHANIZE,,COUNTY,,
A329975,DOG,PIT BULL,LARGE,12/02/2015,EUTHANIZE,,COUNTY,,
A412566,DOG,GERM SHEPHERD,LARGE,07/22/2022,,,SANTA ROSA,,
A304864,CAT,DOMESTIC SH,KITTN,04/01/2014,DIED,,COUNTY,,
A330233,CAT,DOMESTIC MH,SMALL,12/04/2015,EUTHANIZE,,SANTA ROSA,,
A326113,CAT,DOMESTIC SH,SMALL,08/18/2015,EUTHANIZE,,SANTA ROSA,,
A406588,DOG,PIT BULL,LARGE,09/03/2021,EUTHANIZE,,SANTA ROSA,,
A412641,CAT,DOMESTIC SH,SMALL,07/28/2022,,,SANTA ROSA,,
A412616,DOG,GERM SHEPHERD/MIX,LARGE,07/27/2022,,,COUNTY,,
A369274,DOG,CHIHUAHUA SH,TOY,03/06/2018,EUTHANIZE,,COUNTY,,
A329540,DOG,MIN PINSCHER,SMALL,11/06/2015,EUTHANIZE,,SANTA ROSA,,
A397378,DOG,ROTTWEILER/MIX,LARGE,05/02/2020,EUTHANIZE,,SANTA ROSA,,
A410010,CAT,DOMESTIC MH,SMALL,02/12/2022,DISPOSAL,,COUNTY,,
A356425,CAT,DOMESTIC SH,SMALL,08/02/2017,EUTHANIZE,,SANTA ROSA,,
A373562,CAT,DOMESTIC SH,KITTN,06/05/2018,DISPOSAL,,SANTA ROSA,,
A397569,CAT,DOMESTIC SH,SMALL,05/20/2020,EUTHANIZE,,SANTA ROSA,,
A369249,DOG,PIT BULL,MED,03/06/2018,EUTHANIZE,,SANTA ROSA,,
A345576,CAT,DOMESTIC SH,SMALL,11/21/2016,EUTHANIZE,,SANTA ROSA,,
A345543,CAT,DOMESTIC SH,SMALL,11/18/2016,EUTHANIZE,,COUNTY,,
A377171,CAT,DOMESTIC SH,SMALL,10/01/2018,EUTHANIZE,,COUNTY,,
A403458,CAT,DOMESTIC SH,SMALL,04/04/2021,DISPOSAL,,SANTA ROSA,,
A326396,CAT,DOMESTIC SH,KITTN,08/28/2015,DIED,,COUNTY,,
A360787,DOG,CHIHUAHUA SH,SMALL,09/11/2017,EUTHANIZE,,SANTA ROSA,,
A412631,CAT,DOMESTIC SH,SMALL,07/27/2022,DISPOSAL,,SANTA ROSA,,
A406684,DOG,PIT BULL,MED,10/18/2021,EUTHANIZE,,SANTA ROSA,,
A370168,DOG,CHIHUAHUA SH/MIX,SMALL,03/22/2018,EUTHANIZE,,COUNTY,,
A397785,CAT,DOMESTIC LH,SMALL,06/05/2020,DISPOSAL,,SANTA ROSA,,
A397948,CAT,DOMESTIC SH,SMALL,06/16/2020,EUTHANIZE,,COUNTY,,
A314474,CAT,DOMESTIC MH,SMALL,12/01/2014,EUTHANIZE,,SANTA ROSA,,
A412729,CAT,DOMESTIC SH,KITTN,08/04/2022,,,COUNTY,,
A374202,DOG,POODLE MIN/MIX,SMALL,06/22/2018,EUTHANIZE,,COUNTY,,
A374935,CAT,DOMESTIC SH,SMALL,07/25/2018,DISPOSAL,,SANTA ROSA,,
A335627,CAT,DOMESTIC MH,KITTN,04/16/2016,,,COUNTY,,
A313423,CAT,SIAMESE,SMALL,11/05/2014,EUTHANIZE,,SANTA ROSA,,
A364059,DOG,PIT BULL,MED,11/15/2017,EUTHANIZE,,COUNTY,,
A400962,CAT,DOMESTIC SH,SMALL,10/14/2020,EUTHANIZE,,COUNTY,,
A344110,DOG,BORDER COLLIE,MED,10/21/2016,DIED,,COUNTY,,
A374718,CAT,DOMESTIC SH,KITTN,07/13/2018,EUTHANIZE,,*WINDSOR,,
A412018,CAT,DOMESTIC SH,KITTN,06/12/2022,TRANSFER,,COUNTY,,
A403395,CAT,DOMESTIC SH,MED,03/31/2021,DISPOSAL,,COUNTY,,
A412123,DOG,ROTTWEILER,MED,06/23/2022,,,SANTA ROSA,,
A320831,CAT,SIAMESE,SMALL,04/17/2015,EUTHANIZE,,COUNTY,,
A408604,DOG,GERM SHEPHERD,MED,12/29/2021,EUTHANIZE,,COUNTY,,
A321816,DOG,AUST SHEPHERD/MIX,MED,05/23/2015,EUTHANIZE,,COUNTY,,
A369475,DOG,ROTTWEILER,PUPPY,03/19/2018,DIED,,SANTA ROSA,,
A007213,CAT,DOMESTIC SH,,04/28/2018,EUTHANIZE,,*WINDSOR,,
A390101,DOG,GERM SHEPHERD/MIX,MED,08/02/2019,EUTHANIZE,,COUNTY,,
A412575,CAT,DOMESTIC SH,SMALL,07/23/2022,DISPOSAL,,COUNTY,,
A412130,CAT,DOMESTIC SH,KITTN,06/23/2022,,,COUNTY,,
A339544,CAT,DOMESTIC SH,SMALL,07/13/2016,EUTHANIZE,,SANTA ROSA,,
A412728,CAT,DOMESTIC SH,KITTN,08/04/2022,,,COUNTY,,
A412195,DOG,BULLDOG/PIT BULL,MED,06/28/2022,EUTHANIZE,,SANTA ROSA,,
A352302,CAT,DOMESTIC SH,KITTN,05/05/2017,EUTHANIZE,,SANTA ROSA,,
A334526,CAT,DOMESTIC SH,SMALL,03/21/2016,EUTHANIZE,,COUNTY,,
A327321,CAT,DOMESTIC SH,KITTN,09/23/2015,EUTHANIZE,,COUNTY,,
A404952,CAT,DOMESTIC SH,SMALL,05/21/2021,EUTHANIZE,,COUNTY,,
A360705,CAT,DOMESTIC SH,SMALL,09/08/2017,DISPOSAL,,COUNTY,,
A302346,DOG,PIT BULL,PUPPY,02/04/2014,EUTHANIZE,,COUNTY,,
A374190,CAT,DOMESTIC SH,KITTN,06/21/2018,EUTHANIZE,,SANTA ROSA,,
A327819,DOG,BEAGLE/PUG,SMALL,09/30/2015,EUTHANIZE,,SANTA ROSA,,
A311919,DOG,AUST CATTLE DOG/MIX,PUPPY,09/22/2014,TRANSFER,95476.0,SANTA ROSA,COUNTY,"95476(38.280393, -122.464588)"
A393377,CAT,DOMESTIC MH,SMALL,10/28/2019,DIED,,*WINDSOR,,
A391848,DOG,AUST SHEPHERD/MIX,MED,09/27/2019,RETURN TO OWNER,95404.0,SANTA ROSA,SANTA ROSA,"95404(38.458384, -122.675588)"
A352595,CAT,DOMESTIC SH,KITTN,05/11/2017,ADOPTION,94951.0,COUNTY,COUNTY,"94951(38.314417, -122.656863)"
A331818,DOG,BORDER COLLIE/GREAT PYRENEES,LARGE,01/11/2016,RETURN TO OWNER,94952.0,COUNTY,COUNTY,"94952(38.236012, -122.730241)"
A379073,CAT,DOMESTIC SH,SMALL,10/30/2018,EUTHANIZE,,COUNTY,,
A412469,DOG,WELSH CORGI CAR/MIX,MED,04/19/2018,RETURN TO OWNER,95407.0,SANTA ROSA,SANTA ROSA,"95407(38.403734, -122.736775)"
A374073,DOG,PIT BULL/MIX,MED,06/15/2018,RETURN TO OWNER,95476.0,COUNTY,COUNTY,"95476(38.280393, -122.464588)"
A405494,DOG,COCKER SPAN,MED,06/19/2021,RETURN TO OWNER,95407.0,SANTA ROSA,COUNTY,"95407(38.403734, -122.736775)"
A376072,CAT,DOMESTIC SH,SMALL,09/14/2018,ADOPTION,94928.0,COUNTY,*ROHNERT PARK,"94928(38.346718, -122.695947)"
A372497,CAT,DOMESTIC SH,KITTN,05/12/2018,ADOPTION,95403.0,SANTA ROSA,SANTA ROSA,"95403(38.486997, -122.749134)"
A332145,DOG,PIT BULL/MIX,MED,02/17/2016,RETURN TO OWNER,95439.0,COUNTY,COUNTY,"95439(38.49169, -122.776056)"
A323920,CAT,DOMESTIC SH,KITTN,07/02/2015,ADOPTION,95404.0,*WINDSOR,SANTA ROSA,"95404(38.458384, -122.675588)"
A333131,DOG,LABRADOR RETR/MIX,MED,02/17/2016,RETURN TO OWNER,95409.0,SANTA ROSA,SANTA ROSA,"95409(38.458965, -122.630156)"
A334064,DOG,QUEENSLAND HEEL/MIX,SMALL,03/12/2016,ADOPTION,95401.0,SANTA ROSA,SANTA ROSA,"95401(38.446019, -122.766748)"
A081323,DOG,SHIH TZU/MIX,SMALL,08/12/2014,RETURN TO OWNER,95403.0,COUNTY,COUNTY,"95403(38.486997, -122.749134)"
A339675,DOG,BLUETICK HOUND,MED,08/18/2016,RETURN TO OWNER,95472.0,COUNTY,COUNTY,"95472(38.394388, -122.850998)"
A321718,DOG,PIT BULL/MIX,MED,03/03/2016,RETURN TO OWNER,95401.0,SANTA ROSA,SANTA ROSA,"95401(38.446019, -122.766748)"
A302870,DOG,PIT BULL,LARGE,02/18/2014,ADOPTION,95425.0,COUNTY,COUNTY,"95425(38.790859, -123.010876)"
A370999,CAT,DOMESTIC SH,SMALL,04/19/2018,EUTHANIZE,,COUNTY,,
A340041,DOG,LABRADOR RETR/MIX,MED,10/16/2018,RETURN TO OWNER,94952.0,SANTA ROSA,*PETALUMA,"94952(38.236012, -122.730241)"
A395734,DOG,GERM SHEPHERD/SIBERIAN HUSKY,PUPPY,01/22/2020,ADOPTION,95403.0,SANTA ROSA,SANTA ROSA,"95403(38.486997, -122.749134)"
A399987,DOG,PIT BULL,MED,08/18/2020,RETURN TO OWNER,95407.0,COUNTY,SANTA ROSA,"95407(38.403734, -122.736775)"
A315880,DOG,AUST TERRIER,SMALL,01/17/2015,ADOPTION,95472.0,SANTA ROSA,COUNTY,"95472(38.394388, -122.850998)"
A332344,DOG,PIT BULL/AMER BULLDOG,LARGE,01/23/2016,EUTHANIZE,,SANTA ROSA,,
A386164,CAT,DOMESTIC LH,SMALL,04/12/2019,TRANSFER,95403.0,SANTA ROSA,SANTA ROSA,"95403(38.486997, -122.749134)"
A400268,DOG,LABRADOR RETR,MED,09/03/2020,TRANSFER,95035.0,SANTA ROSA,OUT OF COUNTY,"95035(37.43669, -121.886606)"
A407859,DOG,DACHSHUND/MIX,SMALL,11/16/2021,RETURN TO OWNER,95476.0,*SONOMA,*SONOMA,"95476(38.280393, -122.464588)"
A381288,DOG,ALASKAN HUSKY/MIX,MED,01/18/2019,ADOPTION,94610.0,SANTA ROSA,OUT OF COUNTY,"94610(37.8118, -122.240335)"
A332630,DOG,PIT BULL,MED,02/02/2016,EUTHANIZE,,SANTA ROSA,,
A360833,CAT,DOMESTIC SH,KITTN,09/12/2017,ADOPTION,95412.0,SANTA ROSA,COUNTY,"95412(38.705157, -123.351858)"
A328240,CAT,DOMESTIC SH,SMALL,10/13/2015,TRANSFER,95403.0,SANTA ROSA,SANTA ROSA,"95403(38.486997, -122.749134)"
A353146,DOG,GREAT PYRENEES/ANATOL SHEPHERD,LARGE,05/20/2017,RETURN TO OWNER,94515.0,COUNTY,OUT OF COUNTY,"94515(38.596259, -122.603413)"
A356997,CAT,DOMESTIC SH,SMALL,08/16/2017,ADOPTION,94044.0,SANTA ROSA,OUT OF COUNTY,"94044(37.617695, -122.485896)"
A356577,CAT,DOMESTIC SH,SMALL,09/09/2019,RETURN TO OWNER,95404.0,SANTA ROSA,SANTA ROSA,"95404(38.458384, -122.675588)"
A390198,DOG,PIT BULL,LARGE,08/06/2019,EUTHANIZE,,COUNTY,,
A308679,DOG,GERM SHEPHERD,LARGE,07/01/2014,RETURN TO OWNER,95471.0,COUNTY,COUNTY,"95471(38.526497, -122.98045)"
A308698,CAT,DOMESTIC SH,KITTN,07/02/2014,ADOPTION,95492.0,COUNTY,*WINDSOR,"95492(38.541541, -122.809202)"
A337806,CAT,DOMESTIC SH,SMALL,06/01/2016,TRANSFER,95403.0,COUNTY,SANTA ROSA,"95403(38.486997, -122.749134)"
A382044,CAT,DOMESTIC SH,SMALL,12/19/2018,ADOPTION,94044.0,COUNTY,OUT OF COUNTY,"94044(37.617695, -122.485896)"
A312467,CAT,DOMESTIC SH,SMALL,10/04/2014,RETURN TO OWNER,95472.0,COUNTY,COUNTY,"95472(38.394388, -122.850998)"
A385855,CAT,DOMESTIC SH,KITTN,03/28/2019,TRANSFER,95407.0,COUNTY,COUNTY,"95407(38.403734, -122.736775)"
A302934,DOG,CHIHUAHUA SH,SMALL,03/04/2014,ADOPTION,95409.0,SANTA ROSA,SANTA ROSA,"95409(38.458965, -122.630156)"
A375634,DOG,SIBERIAN HUSKY,MED,08/28/2018,TRANSFER,83705.0,COUNTY,OUT OF COUNTY,"83705(43.579675, -116.224114)"
A400792,CAT,DOMESTIC MH,SMALL,10/05/2020,RETURN TO OWNER,95403.0,SANTA ROSA,SANTA ROSA,"95403(38.486997, -122.749134)"
A351361,DOG,BRUSS GRIFFON/MIX,TOY,04/23/2017,RETURN TO OWNER,95462.0,COUNTY,COUNTY,"95462(38.468829, -123.018829)"
A406543,DOG,SIBERIAN HUSKY,MED,08/31/2021,RETURN TO OWNER,95407.0,SANTA ROSA,SANTA ROSA,"95407(38.403734, -122.736775)"
A299656,CAT,DOMESTIC SH,SMALL,09/14/2021,ADOPTION,95401.0,SANTA ROSA,SANTA ROSA,"95401(38.446019, -122.766748)"
A347513,DOG,BOXER/PIT BULL,MED,01/21/2017,ADOPTION,95401.0,SANTA ROSA,SANTA ROSA,"95401(38.446019, -122.766748)"
A296893,DOG,ENG BULLDOG,LARGE,07/16/2018,RETURN TO OWNER,95405.0,SANTA ROSA,SANTA ROSA,"95405(38.439152, -122.672541)"
A038120,DOG,GOLDEN RETR,,02/25/2016,RETURN TO OWNER,95492.0,*WINDSOR,*WINDSOR,"95492(38.541541, -122.809202)"
A318637,DOG,CHIHUAHUA SH,MED,04/05/2017,ADOPTION,95404.0,*WINDSOR,SANTA ROSA,"95404(38.458384, -122.675588)"
A229011,DOG,POODLE MIN/MIX,SMALL,07/18/2020,ADOPTION,95476.0,COUNTY,COUNTY,"95476(38.280393, -122.464588)"
A397717,CAT,DOMESTIC SH,KITTN,06/02/2020,ADOPTION,95404.0,SANTA ROSA,COUNTY,"95404(38.458384, -122.675588)"
A339403,DOG,GOLDEN RETR,LARGE,07/09/2016,TRANSFER,94954.0,COUNTY,COUNTY,"94954(38.245316, -122.59871)"
A388858,DOG,ROTTWEILER,LARGE,08/10/2019,ADOPTION,95448.0,SANTA ROSA,COUNTY,"95448(38.618857, -122.861927)"
A321761,DOG,PIT BULL,LARGE,05/16/2015,EUTHANIZE,,COUNTY,,
A332218,DOG,GERM SHEPHERD,PUPPY,01/19/2016,ADOPTION,95403.0,COUNTY,COUNTY,"95403(38.486997, -122.749134)"
A381670,DOG,GERM SHEPHERD/MIX,MED,12/05/2018,RETURN TO OWNER,95404.0,SANTA ROSA,SANTA ROSA,"95404(38.458384, -122.675588)"
A214327,DOG,WHIPPET,MED,06/30/2016,TRANSFER,,SANTA ROSA,OUT OF COUNTY,
A314871,DOG,CHIHUAHUA SH,TOY,12/12/2014,ADOPTION,95404.0,SANTA ROSA,SANTA ROSA,"95404(38.458384, -122.675588)"
A331818,DOG,BORDER COLLIE/GREAT PYRENEES,LARGE,08/08/2020,RETURN TO OWNER,94952.0,COUNTY,COUNTY,"94952(38.236012, -122.730241)"
A329454,DOG,SHIH TZU,TOY,11/04/2015,RETURN TO OWNER,95492.0,*WINDSOR,*WINDSOR,"95492(38.541541, -122.809202)"
A408633,CAT,BALINESE,SMALL,01/04/2022,ADOPTION,94949.0,SANTA ROSA,OUT OF COUNTY,"94949(38.06215, -122.53789)"
A405220,CAT,DOMESTIC SH,KITTN,06/05/2021,ADOPTION,95409.0,COUNTY,SANTA ROSA,"95409(38.458965, -122.630156)"
A329270,DOG,AUST CATTLE DOG/QUEENSLAND HEEL,MED,10/27/2015,ADOPTION,95403.0,SANTA ROSA,SANTA ROSA,"95403(38.486997, -122.749134)"
A346855,CAT,DOMESTIC MH,SMALL,12/30/2016,ADOPTION,94533.0,SANTA ROSA,OUT OF COUNTY,"94533(38.27114, -122.026467)"
A401363,CAT,DOMESTIC SH,SMALL,11/12/2020,TRANSFER,95403.0,COUNTY,SANTA ROSA,"95403(38.486997, -122.749134)"
A342912,DOG,AMERICAN STAFF/MIX,SMALL,09/27/2016,ADOPTION,94928.0,SANTA ROSA,*ROHNERT PARK,"94928(38.346718, -122.695947)"
A342397,DOG,LABRADOR RETR/MIX,SMALL,09/16/2016,ADOPTION,95461.0,SANTA ROSA,OUT OF COUNTY,"95461(38.787437, -122.64395)"
A335297,CAT,DOMESTIC SH,KITTN,04/07/2016,EUTHANIZE,,SANTA ROSA,,
A391898,DOG,PIT BULL,SMALL,03/11/2020,RETURN TO OWNER,95404.0,SANTA ROSA,SANTA ROSA,"95404(38.458384, -122.675588)"
